crdc_id,year,fips,ncessch,leaid,race,sex,disability,lep,students_AP_exam_none,students_AP_pass_none,students_AP_exam_oneormore,students_AP_pass_oneormore,students_AP_exam_all,students_AP_pass_all
481671001435,2015,48,481671001435,4816710,99,99,99,99,,,,,,
481671001437,2015,48,481671001437,4816710,99,99,99,99,,,,,,
481671001438,2015,48,481671001438,4816710,99,99,99,99,,,,,,
481671001440,2015,48,481671001440,4816710,99,99,99,99,,,,,,
481671005453,2015,48,481671005453,4816710,99,99,99,99,,,,,,
481671007294,2015,48,481671007294,4816710,99,99,99,99,,,,,,
481671013045,2015,48,481671013045,4816710,99,99,99,99,,,,,,
482016001965,2015,48,482016001965,4820160,99,99,99,99,0.0,43.0,87.0,39.0,,
482016001966,2015,48,482016001966,4820160,99,99,99,99,,,,,,
482778003117,2015,48,482778003117,4827780,99,99,99,99,,,,,,
482778003118,2015,48,482778003118,4827780,99,99,99,99,51.0,,4.0,,,
482778003119,2015,48,482778003119,4827780,99,99,99,99,,,,,,
482778006579,2015,48,482778006579,4827780,99,99,99,99,,,,,,
482778012990,2015,48,482778012990,4827780,99,99,99,99,,,,,,
482778013296,2015,48,482778013296,4827780,99,99,99,99,,,,,,
482778017056,2015,48,482778017056,4827780,99,99,99,99,,,,,,
480000101145,2015,48,480000101145,4800001,99,99,99,99,,,,,,
480000101146,2015,48,480000101146,4800001,99,99,99,99,,,,,,
480000103621,2015,48,480000103621,4800001,99,99,99,99,,,,,,
480000204732,2015,48,480000204732,4800002,99,99,99,99,,,,,,
480000304219,2015,48,480000304219,4800003,99,99,99,99,,,,,,
480000407173,2015,48,480000407173,4800004,99,99,99,99,,,,,,
480000409116,2015,48,480000409116,4800004,99,99,99,99,0.0,20.0,21.0,,,
480000409460,2015,48,480000409460,4800004,99,99,99,99,,,,,,
480000500513,2015,48,480000500513,4800005,99,99,99,99,,,,,,
480000600274,2015,48,480000600274,4800006,99,99,99,99,,,,,,
480000600275,2015,48,480000600275,4800006,99,99,99,99,,,,,,
480000706343,2015,48,480000706343,4800007,99,99,99,99,,,,,,
480000801507,2015,48,480000801507,4800008,99,99,99,99,,,,,,
480000801508,2015,48,480000801508,4800008,99,99,99,99,133.0,118.0,450.0,320.0,,
480000806094,2015,48,480000806094,4800008,99,99,99,99,,,,,,
480000806989,2015,48,480000806989,4800008,99,99,99,99,,,,,,
480000811280,2015,48,480000811280,4800008,99,99,99,99,,,,,,
480000905246,2015,48,480000905246,4800009,99,99,99,99,,,,,,
480000906198,2015,48,480000906198,4800009,99,99,99,99,103.0,55.0,150.0,91.0,,
480000906499,2015,48,480000906499,4800009,99,99,99,99,,,,,,
480000907342,2015,48,480000907342,4800009,99,99,99,99,,,,,,
480001005244,2015,48,480001005244,4800010,99,99,99,99,698.0,,102.0,91.0,,
480001005245,2015,48,480001005245,4800010,99,99,99,99,,,,,,
480001006199,2015,48,480001006199,4800010,99,99,99,99,,,,,,
480001006346,2015,48,480001006346,4800010,99,99,99,99,,,,,,
480001007343,2015,48,480001007343,4800010,99,99,99,99,,,,,,
480001008834,2015,48,480001008834,4800010,99,99,99,99,,,,,,
480001008835,2015,48,480001008835,4800010,99,99,99,99,,,,,,
480001008836,2015,48,480001008836,4800010,99,99,99,99,,,,,,
480001008837,2015,48,480001008837,4800010,99,99,99,99,,,,,,
480001008838,2015,48,480001008838,4800010,99,99,99,99,,,,,,
480001008839,2015,48,480001008839,4800010,99,99,99,99,,,,,,
480001008840,2015,48,480001008840,4800010,99,99,99,99,,,,,,
480001009290,2015,48,480001009290,4800010,99,99,99,99,,,,,,
480001009624,2015,48,480001009624,4800010,99,99,99,99,548.0,,45.0,40.0,,
480001010804,2015,48,480001010804,4800010,99,99,99,99,,,,,,
480001010805,2015,48,480001010805,4800010,99,99,99,99,,,,,,
480001010806,2015,48,480001010806,4800010,99,99,99,99,,,,,,
480001010807,2015,48,480001010807,4800010,99,99,99,99,,,,,,
480001010808,2015,48,480001010808,4800010,99,99,99,99,,,,,,
480001010809,2015,48,480001010809,4800010,99,99,99,99,,,,,,
480001011534,2015,48,480001011534,4800010,99,99,99,99,,,,,,
480001012146,2015,48,480001012146,4800010,99,99,99,99,,,,,,
480001100128,2015,48,480001100128,4800011,99,99,99,99,103.0,,0.0,,,
480001100129,2015,48,480001100129,4800011,99,99,99,99,,,,,,
480001100130,2015,48,480001100130,4800011,99,99,99,99,,,,,,
480001103090,2015,48,480001103090,4800011,99,99,99,99,,,,,,
480001106201,2015,48,480001106201,4800011,99,99,99,99,,,,,,
480001107367,2015,48,480001107367,4800011,99,99,99,99,,,,,,
480001110855,2015,48,480001110855,4800011,99,99,99,99,,,,,,
480001201430,2015,48,480001201430,4800012,99,99,99,99,,,,,,
