crdc_id,year,ncessch,fips,leaid,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion
480000101146,2015,480000101146,48,4800001,0,0,0,0,0
480000103621,2015,480000103621,48,4800001,0,0,0,0,0
480000204732,2015,480000204732,48,4800002,0,0,0,0,0
480000304219,2015,480000304219,48,4800003,0,0,0,0,0
480000407173,2015,480000407173,48,4800004,0,0,0,0,0
480000409116,2015,480000409116,48,4800004,0,0,0,0,0
480000409460,2015,480000409460,48,4800004,0,0,0,0,0
480000500513,2015,480000500513,48,4800005,0,0,0,0,0
480000600274,2015,480000600274,48,4800006,0,0,0,0,0
480000600275,2015,480000600275,48,4800006,0,0,0,0,0
480000706343,2015,480000706343,48,4800007,0,0,0,0,0
480000801507,2015,480000801507,48,4800008,0,0,0,0,0
480000801508,2015,480000801508,48,4800008,0,0,0,0,0
480000806094,2015,480000806094,48,4800008,0,0,0,0,0
480000806989,2015,480000806989,48,4800008,0,0,0,0,0
480000811280,2015,480000811280,48,4800008,0,0,0,0,0
480000905246,2015,480000905246,48,4800009,0,0,0,0,0
480000906198,2015,480000906198,48,4800009,0,0,0,0,0
480000906499,2015,480000906499,48,4800009,0,0,0,0,0
480000907342,2015,480000907342,48,4800009,0,0,0,0,0
480001005244,2015,480001005244,48,4800010,0,0,0,0,0
480001005245,2015,480001005245,48,4800010,0,0,0,0,0
480001006199,2015,480001006199,48,4800010,0,0,0,0,0
480001006346,2015,480001006346,48,4800010,0,0,0,0,0
480001007343,2015,480001007343,48,4800010,0,0,0,0,0
480001008834,2015,480001008834,48,4800010,0,0,0,0,0
480001008835,2015,480001008835,48,4800010,0,0,0,0,0
480001008836,2015,480001008836,48,4800010,0,0,0,0,0
480001008837,2015,480001008837,48,4800010,0,0,0,0,0
480001008838,2015,480001008838,48,4800010,0,0,0,0,0
480001008839,2015,480001008839,48,4800010,0,0,0,0,0
480001008840,2015,480001008840,48,4800010,0,0,0,0,0
480001009290,2015,480001009290,48,4800010,0,0,0,0,0
480001009624,2015,480001009624,48,4800010,0,0,0,0,0
